train_acc_private,train_acc_public,train_loss,train_sign_acc,train_sign_loss,train_time,valid_acc_private,valid_acc_public,valid_loss_private,valid_loss_public,valid_s_private_module.module.features.4,valid_s_private_module.module.features.5,valid_s_private_module.module.features.6,valid_time_private,valid_time_public,valid_total_acc
30.707826504481435,33.620758642765686,3.8791761807381877,0.0,0.0,56.05978727340698,29.43,45.61,2.030606072998047,1.7765812976837159,0.4765625,0.4921875,0.5390625,2.87378191947937,2.1312477588653564,37.519999999999996
48.42949743918054,51.212387964148526,2.7642806637149766,0.0,0.0,46.6579065322876,28.64,59.36,1.9207416831970214,1.3316985112190247,0.4869791865348816,0.46484375,0.5546875,2.9133124351501465,1.9211506843566895,44.0
59.226952624839946,61.84779129321383,2.230898816973238,0.0,0.0,47.25264883041382,23.74,66.33,1.8865478858947753,1.1310495607376099,0.5052083730697632,0.46484375,0.53125,3.0096099376678467,1.9762098789215088,45.035
64.90076824583866,67.91373239436619,1.901306681077398,0.0,0.0,47.133604526519775,29.73,71.15,1.821743646621704,0.9570915865898132,0.4765625,0.484375,0.51953125,2.818129301071167,2.0113425254821777,50.440000000000005
69.20814660691421,72.52720870678617,1.6743038821006706,0.0,0.0,46.794811487197876,23.41,73.69,1.8645586917877197,0.8972259407043457,0.4713541865348816,0.5,0.5390625,2.9410128593444824,2.0031518936157227,48.55
72.49719910371319,75.67821702944943,1.4991475441391733,0.0,0.0,47.11416506767273,24.19,72.56,1.8783533676147461,0.8916657489776612,0.46875,0.5,0.50390625,2.942314624786377,2.0926566123962402,48.375
74.98599551856594,77.95494558258643,1.3589945246254436,0.0,0.0,47.04921078681946,27.78,76.48,1.718266717529297,0.7853200914382935,0.5,0.46484375,0.53125,2.8082525730133057,2.0271551609039307,52.13
76.59050896286811,79.49943982074264,1.26676685281966,0.0,0.0,47.099714279174805,30.49,79.62,1.7256052883148194,0.6789856442928314,0.46875,0.4765625,0.45703125,2.881612777709961,2.021794080734253,55.055
77.95694622279129,80.85387323943662,1.187036125898056,0.0,0.0,47.382333278656006,28.42,81.24,1.662651156425476,0.6298881289243699,0.4895833432674408,0.484375,0.48828125,2.9281036853790283,1.9744048118591309,54.83
79.32538412291933,82.24031690140845,1.114352952426588,0.0,0.0,48.207844257354736,37.55,79.22,1.548582029724121,0.7345679195404052,0.4947916865348816,0.4921875,0.51953125,2.9827539920806885,2.062242269515991,58.385
80.55777848911652,83.50672215108835,1.0446812344116376,0.0,0.0,47.19417214393616,39.92,81.04,1.4987128358840942,0.6493173468589782,0.4739583432674408,0.47265625,0.5234375,2.98691463470459,2.0887556076049805,60.480000000000004
81.59611075544174,84.39100512163893,0.9775207122446785,0.0,0.0,47.058321475982666,40.98,81.55,1.4717491903305053,0.5993313428878784,0.4791666865348816,0.484375,0.49609375,2.990934133529663,2.047316312789917,61.265
82.29633482714469,85.31129961587708,0.935522342499026,0.0,0.0,47.24381923675537,43.85,82.91,1.4601903352737426,0.5636050302505493,0.484375,0.46875,0.51953125,2.935299873352051,2.0543713569641113,63.379999999999995
83.44270166453265,86.21558898847631,0.8712171182208116,0.0,0.0,47.246668577194214,47.15,82.75,1.345004796218872,0.5798649465560913,0.4817708432674408,0.484375,0.5078125,2.935356855392456,2.0658061504364014,64.95
84.25896286811779,87.06586107554418,0.8315185387445931,0.0,0.0,47.21137976646423,54.41,83.92,1.216108067893982,0.5631470180034638,0.4869791865348816,0.48046875,0.51171875,2.9169294834136963,2.119307041168213,69.16499999999999
84.70910691421255,87.738076184379,0.7969660294574904,0.0,0.0,47.23443627357483,51.06,82.16,1.2863484785079955,0.6306585443496704,0.4791666865348816,0.484375,0.4921875,2.9432802200317383,1.936042308807373,66.61
85.40733034571063,88.08818822023048,0.7613216267276207,0.0,0.0,46.13816285133362,61.79,82.21,1.1213195539474488,0.6459894419908524,0.4869791865348816,0.47265625,0.5078125,2.8370587825775146,2.0895447731018066,72.0
86.04553457106275,88.81442061459667,0.7285214857545308,0.0,0.0,45.33150362968445,59.67,83.3,1.095430154800415,0.5546330697059632,0.4791666865348816,0.46875,0.4921875,2.8425135612487793,1.9922378063201904,71.485
86.56370038412292,89.4226152368758,0.6954378302515545,0.0,0.0,45.48318648338318,63.71,85.03,0.9991047254562377,0.5366150458812714,0.4895833432674408,0.49609375,0.4609375,2.8364405632019043,2.0220038890838623,74.37
87.29793533930858,89.92477592829705,0.6616254862536236,0.0,0.0,45.984848737716675,66.26,85.26,0.9729907373428345,0.5308378479003907,0.4895833432674408,0.46875,0.4765625,2.8278307914733887,1.9113774299621582,75.76
87.3779609475032,90.16285211267606,0.6490912206957495,0.0,0.0,46.336920976638794,68.65,84.96,0.9342866407394409,0.5197763288497925,0.4817708432674408,0.48828125,0.47265625,2.875645875930786,2.0112674236297607,76.805
88.14020486555698,90.90308898847631,0.6029719355660426,0.0,0.0,45.63962912559509,73.44,83.97,0.788783321094513,0.5807017699241638,0.484375,0.5,0.484375,2.744497060775757,2.074227809906006,78.705
88.32226312419975,91.00912291933419,0.5921385908134463,0.0,0.0,45.75326704978943,71.14,84.33,0.8348961309432983,0.5782593241691589,0.4921875,0.46484375,0.4765625,2.8083338737487793,2.0192043781280518,77.735
88.9344590268886,91.48927656850192,0.5620849425981964,0.0,0.0,45.596911668777466,73.69,85.83,0.7731520257949829,0.5101734763622284,0.484375,0.484375,0.4765625,2.8465237617492676,2.0567872524261475,79.75999999999999
89.3705985915493,92.03145006402049,0.5333780695454107,0.0,0.0,45.43721294403076,73.32,85.0,0.7946160860061645,0.5293444955825806,0.4817708432674408,0.484375,0.46875,2.85932993888855,2.0971786975860596,79.16
89.51064340588988,92.15749039692702,0.5275524198131281,0.0,0.0,45.665189266204834,76.98,85.3,0.6962439655303955,0.5277100519180298,0.4947916865348816,0.484375,0.4765625,2.826035499572754,1.947561502456665,81.14
89.96678937259924,92.58162612035852,0.5000199008346672,0.0,0.0,45.63468527793884,79.33,84.93,0.641261802482605,0.5607918195724487,0.4869791865348816,0.49609375,0.52734375,2.848605155944824,2.035144805908203,82.13
90.2068661971831,93.05777848911652,0.4842647896190001,0.0,0.0,46.09004735946655,77.72,85.91,0.656472564125061,0.5152474919319153,0.4973958432674408,0.47265625,0.48828125,2.8785619735717773,2.0694799423217773,81.815
