train_acc_private,train_acc_public,train_loss,train_sign_acc,train_sign_loss,train_time,valid_acc_private,valid_acc_public,valid_loss_private,valid_loss_public,valid_s_private_features.4,valid_s_private_features.5,valid_s_private_features.6,valid_time_private,valid_time_public,valid_total_acc,wm_acc_private,wm_acc_public,wm_loss_private,wm_loss_public,wm_s_private_features.4,wm_s_private_features.5,wm_s_private_features.6,wm_time_private,wm_time_public,wm_total_acc
24.47134570733533,26.00783741458888,4.285237028717842,1.0,39.49149713572115,69.24248456954956,11.35,21.05,16.958757061767578,2.6489211563110353,1.0,1.0,1.0,0.979945182800293,0.9867744445800781,16.2,14.0,22.0,2.4805585956573486,2.585045644044876,1.0,1.0,1.0,0.11147499084472656,0.08638477325439453,18.0
33.12575141110585,35.469289217959904,3.498610091423103,1.0,5.170669816900045,68.39858436584473,9.35,18.65,7.398660491943359,2.648666724395752,1.0,1.0,1.0,1.015596628189087,0.9482629299163818,14.0,17.0,36.0,2.17132283449173,2.006479643583298,1.0,1.0,1.0,0.11147737503051758,0.0642232894897461,26.5
38.78283428382629,41.3630538359189,3.213029724687681,1.0,4.230245652608573,66.60245871543884,12.63,25.25,5.709602018737793,2.5180181072235106,1.0,1.0,1.0,0.9288616180419922,0.8991982936859131,18.94,21.0,39.0,2.171114889383316,1.7015905225276946,1.0,1.0,1.0,0.11016345024108887,0.06494379043579102,30.0
43.19442768805158,46.054009482741506,2.979248118003718,1.0,3.936383033171296,67.78249716758728,16.44,24.71,4.978486217498779,2.711524411392212,1.0,1.0,1.0,0.9394145011901855,0.9445877075195312,20.575000000000003,34.0,60.0,1.9857821369171142,1.187894079685211,1.0,1.0,1.0,0.13873028755187988,0.07490396499633789,47.0
46.959996380970814,49.87583863262025,2.7879417373032025,1.0,4.1271655154414475,68.02625346183777,16.49,19.15,4.347533975982666,3.2050602237701415,1.0,1.0,1.0,1.0206999778747559,0.9801712036132812,17.82,32.0,68.0,1.8341108173131944,1.0172008991241455,1.0,1.0,1.0,0.11325383186340332,0.06466913223266602,50.0
50.48694320463798,52.931361932302714,2.6259005878707358,1.0,4.508775699883699,67.7893214225769,20.38,33.35,3.7787691551208495,2.2468399196624755,1.0,1.0,1.0,1.2263402938842773,1.0376372337341309,26.865000000000002,30.0,78.0,1.8465879082679748,0.6544319783523679,1.0,1.0,1.0,0.11902666091918945,0.06599068641662598,54.0
53.09432306912431,55.071198022625055,2.4983519998005805,1.0,4.82812663866207,65.85749292373657,14.91,29.78,4.566688421630859,2.166577667236328,1.0,1.0,1.0,1.1417632102966309,1.0591905117034912,22.345,41.0,82.0,1.6695592761039735,0.6795464511215686,1.0,1.0,1.0,0.11110353469848633,0.06611013412475586,61.5
55.67454265296536,57.47681617981035,2.374824990536278,1.0,5.280145063996315,65.77909874916077,19.33,31.74,3.920073067474365,2.304441812133789,1.0,1.0,1.0,1.1416220664978027,1.1931073665618896,25.534999999999997,40.0,86.0,1.567124582529068,0.4716108453273773,1.0,1.0,1.0,0.1185598373413086,0.07555294036865234,63.0
57.581577056806616,59.061808118441654,2.2795536684470963,1.0,5.726615280844271,68.92158818244934,15.93,27.78,7.464227612304687,2.424108611679077,1.0,1.0,1.0,1.1236491203308105,1.1898860931396484,21.855,58.0,92.0,1.3133018988370895,0.41510121315717696,1.0,1.0,1.0,0.11343026161193848,0.0637362003326416,75.0
58.96286739002574,60.441158475399625,2.201583219093489,1.0,6.1211396609432995,64.1956434249878,17.2,34.12,4.181987226104736,1.9037814521789551,1.0,1.0,1.0,1.0782170295715332,1.0209438800811768,25.659999999999997,52.0,95.0,1.4778324076533318,0.33651881501078607,1.0,1.0,1.0,0.1092832088470459,0.06426358222961426,73.5
60.346097777656034,61.510106539756784,2.131841542473523,1.0,6.546441514045,66.02759528160095,19.4,34.65,5.712350315856933,1.8825791538238525,1.0,1.0,1.0,1.0873491764068604,1.1529600620269775,27.025,67.0,92.0,1.09132867872715,0.30506272114813326,1.0,1.0,1.0,0.11041617393493652,0.06508135795593262,79.5
61.70798803077923,62.54995435941845,2.0756234733456993,1.0,6.872991607524455,66.25934195518494,22.0,27.06,5.396402077484131,2.3255499362945558,1.0,1.0,1.0,1.1715083122253418,1.0331015586853027,24.53,67.0,93.0,1.0431990289688111,0.29816006604582074,1.0,1.0,1.0,0.11374163627624512,0.05838727951049805,80.0
62.60621474555452,63.57428218338462,2.0157118651076256,1.0,7.22247109003365,66.94835758209229,22.65,29.94,5.439938177490235,2.2645141662597656,1.0,1.0,1.0,1.153022289276123,1.078315258026123,26.295,68.0,93.0,0.9950217360258102,0.30484158292412755,1.0,1.0,1.0,0.10988235473632812,0.061302900314331055,80.5
